,CD86_DC,CD80_DC,CD40_DC,DR_DC,CD86_Mo,CD80_Mo,CD40_Mo,Dr_Mo,CD86_B,CD80_B,CD40_B,DR_B,CD86pos_DC,CD80pos_DC,CD40pos_DC,DRpos_DC,CD86pos_Mo,CD80pos_Mo,CD40pos_Mo,DRpos_Mo,CD86pos_B,CD80pos_B,CD40pos_B,DRpos_B
Transwell_C8_C08.fcs,11345,114,844,30322,6372,105,939,27517,2427,46.8,1748,49851,98.8,4.97,47.5,100,99.4,3.12,51.2,99.9,96.1,0.97,90.4,100
Transwell_C9_C09.fcs,11381,120,838,30310,6125,109,930,26683,2437,49.7,1763,50016,99.1,5.62,44.8,100,99.2,3.41,50.8,99.9,96.4,1,91,100
Transwell_C10_C10.fcs,11108,111,792,29253,5858,98.9,857,25067,2408,45.2,1678,49061,99.1,4.14,42.6,100,99.3,2.13,46.6,100,96.5,0.86,89.8,100
Transwell_D8_D08.fcs,12014,127,938,32827,6355,111,1031,27695,2501,46.2,1766,50882,99,7.81,52,99.9,99.3,4.62,56,99.9,96.6,1.12,90.8,100
Transwell_D9_D09.fcs,11922,130,907,31477,6187,116,1007,26603,2497,46.9,1763,50608,99,8.08,48.8,100,99.4,4.84,54.6,100,97.1,0.91,91.2,100
Transwell_D10_D10.fcs,12286,128,897,30972,6306,109,956,26557,2483,46,1714,50320,99.1,7.96,49.6,100,99.5,4.03,52.5,100,96.7,0.99,90.6,100
Transwell_E8_E08.fcs,12344,286,1445,36185,7549,241,1157,30318,2547,53.8,1833,48700,98.5,43.2,68.8,100,99.6,35.7,60,99.9,97.5,2.15,92.4,100
Transwell_E9_E09.fcs,10598,261,1348,36078,7265,242,1130,29863,2531,53.2,1812,48292,97.4,38.8,64.9,100,99.6,36.2,59.1,99.9,97.3,1.91,91.8,100
Transwell_E10_E10.fcs,11341,282,1383,36134,7124,242,1074,29078,2487,53.1,1757,47705,96.9,40.1,66.3,99.9,99.7,36.4,57,99.9,97.3,2.08,91.4,100
Transwell_F8_F08.fcs,11621,105,903,29545,5601,96.6,805,25243,2615,46.5,1741,48536,99.9,3.08,49.1,100,99.6,1.82,43,100,97.9,1.16,90.9,100
Transwell_F9_F09.fcs,11249,107,881,28651,5461,97.3,793,24709,2624,46.3,1748,48491,99.6,2.79,47.2,99.9,99.5,1.97,42.4,100,97.9,1.02,91.1,100
Transwell_F10_F10.fcs,11640,113,929,29831,5850,97,799,24740,2611,45.5,1661,46932,99.8,4.58,49,100,99.8,2.49,42.8,100,97.9,1.01,89.4,100
Transwell_G8_G08.fcs,12537,138,946,32828,6922,107,1033,29046,2425,45.9,1616,48638,99.1,9.99,50.3,100,99.8,4.03,56.1,99.9,96.2,0.98,88.1,100
Transwell_G9_G09.fcs,12993,140,915,31651,6703,107,1034,28221,2422,46.6,1602,48440,99.1,10.3,49.6,100,99.8,4.48,56.5,100,96.4,1.06,88,100
Transwell_G10_G10.fcs,13053,138,876,31107,6779,103,953,26805,2365,43.7,1552,47500,99.2,9.52,47.6,100,99.8,3.88,52.2,99.9,96,1,87.7,100
